[37, 178, 190.0, 1]
[44, 178, 210.0, 1]
[50, 178, 178.0, 1]
[41, 160, 134.0, 0]
[49, 168, 130.0, 0]
[28, 180, 215.0, 1]
[36, 178, 212.0, 1]
[32, 163, 204.0, 0]
[44, 205, 300.0, 1]
[32, 152, 115.0, 0]
[34, 165, 150.0, 0]
[39, 175, 128.0, 2]
[48, 205, 185.0, 1]
[49, 160, 144.0, 0]
[37, 205, 183, 1]
[44, 173, 184.0, 1]
[45, 175, 210.0, 1]
[38, 205, 151, 0]
[39, 170, 128.0, 0]
[43, 178, 150.0, 0]
[49, 163, 118.0, 0]
[39, 205, 171, 2]
[34, 180, 185.0, 1]
[35, 180, 200.0, 1]
[50, 173, 162.0, 1]
[38, 165, 125.0, 0]
[33, 183, 252.0, 1]
[42, 180, 270.0, 1]
[33, 168, 217.0, 1]
[30, 168, 174.0, 1]
[37, 175, 150.0, 1]
[44, 185, 240.0, 1]
[32, 178, 216.0, 1]
[49, 175, 161.0, 1]
[45, 178, 242.0, 1]
[37, 175, 213.0, 1]
[38, 183, 191.0, 1]
[33, 178, 253.0, 1]
[44, 163, 122.0, 0]
[30, 205, 207.0, 1]
[32, 173, 193.0, 1]
[33, 178, 195.0, 0]
[45, 175, 182.0, 1]
[35, 178, 180.0, 0]
[47, 168, 131.0, 0]
[46, 178, 217.0, 1]
[32, 180, 250.0, 1]
[46, 150, 107.0, 0]
[39, 178, 166.0, 1]
[33, 183, 200.0, 1]
[41, 163, 110.0, 0]
[44, 163, 147.0, 0]
[41, 183, 206.0, 1]
[36, 173, 165.0, 1]
[33, 188, 170.0, 1]
[43, 205, 131, 1]
[44, 178, 162.0, 1]
[39, 163, 127.0, 0]
[40, 180, 167.0, 1]
[50, 180, 172.0, 1]
[39, 175, 180.0, 1]
[41, 170, 207.0, 1]
[42, 175, 216.0, 1]
[38, 178, 240.0, 1]
[41, 152, 136.0, 0]
[45, 170, 119.0, 0]
[42, 180, 221.0, 1]
[47, 175, 185.0, 1]
[29, 165, 214.0, 0]
[28, 180, 182.0, 1]
[30, 173, 170.0, 0]
[38, 180, 187.0, 1]
[36, 180, 204.0, 1]
[33, 163, 160.0, 0]
[41, 170, 190.0, 1]
[52, 178, 177.0, 1]
[33, 205, 154, 1]
[38, 180, 197.0, 1]
[35, 160, 108.0, 0]
[42, 160, 118.0, 0]
[33, 185, 196.0, 1]
[34, 175, 217.0, 1]
[47, 173, 248.0, 1]
[30, 178, 240.0, 1]
[50, 152, 136.0, 0]
[43, 170, 119.0, 0]
[41, 180, 221.0, 1]
[35, 175, 185.0, 1]
[42, 165, 214.0, 0]
[39, 180, 182.0, 1]
[33, 173, 170.0, 0]
